#{"t_start": 1533058765.5721228, "env_id": "Walker2d-v2"}
r,l,t
1.328217,11,0.041479
3.181568,23,0.088097
4.482717,14,0.135317
-6.769766,8,0.159052
-3.607034,10,0.180938
-1.481362,21,0.221086
-2.472336,12,0.236525
-10.029747,11,0.251304
-4.326402,10,0.264951
-12.163886,12,0.281354
-2.010755,11,0.313163
0.56242,12,0.342219
-2.666948,34,0.429843
-4.368595,19,0.484291
-4.912989,17,0.527151
-8.977761,20,0.57337
-5.905702,26,0.653669
-3.384148,15,0.695096
-3.885569,17,0.735848
-0.482028,20,0.782769
1.335013,17,0.838315
-1.232014,9,0.864186
-3.746526,34,0.941406
-3.796472,16,0.994164
-0.392295,13,1.030977
-0.167682,12,1.062413
4.169299,20,1.104652
-6.467106,13,1.137896
-2.189028,13,1.185679
-5.51329,18,1.221569
-3.717547,8,1.232147
2.71772,12,1.247978
-8.241932,10,1.277551
-4.574851,12,1.297641
-4.004155,8,1.320279
-4.270404,14,1.338397
-2.472174,9,1.358506
0.265668,9,1.382303
-3.295295,20,1.424741
-5.768406,16,1.461761
-6.135427,11,1.48084
2.872426,12,1.508579
3.144432,15,1.544503
-5.694797,15,1.564157
-10.891197,13,1.581565
2.466075,14,1.60015
-5.791032,15,1.620028
4.290534,26,1.682737
-2.748579,10,1.712009
-4.152059,9,1.740229
-4.442834,10,1.753616
-10.628635,20,1.812219
1.747871,11,1.842383
-8.561794,11,1.868989
3.060196,29,1.939443
-12.186204,15,1.987573
5.674568,36,2.08176
-4.621469,15,2.122458
-0.911299,12,2.15444
-0.956495,10,2.184574
-1.948267,18,2.241571
0.486651,15,2.282415
-3.633299,10,2.304064
0.119464,15,2.348346
-1.823122,11,2.378818
-0.923828,13,2.412915
-1.618511,14,2.455667
-3.963537,12,2.496255
-1.896591,11,2.510571
-4.388637,10,2.539704
-4.364678,14,2.587147
-1.047687,11,2.601744
-0.875991,10,2.631257
1.529159,14,2.666409
-9.865328,14,2.701713
-2.094376,7,2.727649
-1.028467,16,2.780265
-0.337667,12,2.812481
3.61144,28,2.869689
3.983044,14,2.916422
6.259962,28,2.982539
-2.667685,8,2.998032
-8.436531,14,3.024611
-14.05773,13,3.05828
-4.08268,13,3.090756
-1.096258,12,3.110723
-5.939959,20,3.161623
-3.22637,23,3.205194
-3.016477,30,3.308079
2.655543,13,3.340978
-8.756536,10,3.35467
-2.530286,21,3.410394
-3.780643,12,3.450931
1.432553,34,3.535929
-3.543926,8,3.557245
-6.00636,11,3.588107
-1.192418,16,3.631825
-2.005216,8,3.642329
-2.943196,19,3.679869
-12.612848,24,3.743156
-2.245137,10,3.75642
9.148977,28,3.83164
-10.533561,13,3.865095
-5.05004,16,3.902155
1.191357,11,3.916574
-4.351482,13,3.945447
2.564234,19,3.986546
-0.967255,10,3.999407
-1.423212,23,4.049334
1.188864,27,4.10859
-3.986254,15,4.129006
-6.239644,16,4.178821
1.666573,10,4.192033
0.720475,19,4.216736
9.473923,31,4.256002
3.74956,36,4.319862
5.501032,30,4.365154
-0.14131,22,4.397066
