#{"t_start": 1533054346.4906902, "env_id": "Walker2d-v2"}
r,l,t
0.49048,13,0.016837
-4.439753,18,0.027164
-6.316634,22,0.040163
-11.940542,25,0.055902
-2.995145,24,0.071501
-4.170709,19,0.084339
-7.212001,19,0.094927
-3.631822,11,0.10113
-7.362425,17,0.11305
-0.505465,28,0.136161
-5.244688,18,0.152709
2.067507,13,0.165249
-2.561975,20,0.18418
-9.085592,12,0.195786
4.474498,18,0.212434
-3.043168,48,0.257282
2.748238,23,0.278628
-9.781377,25,0.30187
-3.368273,14,0.315129
-7.378284,42,0.355039
-10.360234,13,0.367592
-2.669388,31,0.396883
-11.729955,28,0.422914
-0.164189,14,0.436101
4.796336,22,0.457051
6.411089,28,0.483149
-1.924914,44,0.52337
-8.501814,17,0.539241
-1.555321,21,0.55895
-8.395772,18,0.575551
-7.856432,17,0.591538
1.070634,17,0.607361
-0.537086,27,0.632668
-7.436586,27,0.65801
-3.759557,35,0.690707
-8.219131,17,0.706902
6.295754,30,0.735661
-6.626969,8,0.743947
-10.290446,32,0.77543
-1.98216,13,0.788198
-7.276435,41,0.827972
7.916384,24,0.851193
-7.706089,25,0.875973
-2.791663,17,0.892663
-1.594945,18,0.91061
-9.617961,33,0.943012
-4.972746,10,0.953294
-1.379897,18,0.971288
0.350521,29,0.999969
14.967412,31,1.03089
-7.13407,20,1.050093
0.455186,26,1.075808
-7.478529,42,1.116584
-9.964433,23,1.139278
-2.730405,18,1.156842
-7.045058,15,1.171433
-5.010856,23,1.193532
1.143028,21,1.213832
-6.980856,17,1.230421
-11.878683,15,1.24488
-2.820168,33,1.275209
8.381063,24,1.297378
-7.454301,16,1.312031
-5.538566,16,1.326684
-3.450974,27,1.351314
-4.07788,16,1.366092
-9.007937,13,1.378328
-8.125431,28,1.402685
-8.214195,22,1.415103
-7.30562,15,1.423852
-6.598299,27,1.43988
-4.629819,19,1.451144
2.251595,22,1.467968
-2.967239,19,1.484213
6.458209,23,1.503543
6.297428,30,1.528816
0.910342,30,1.554291
-11.776895,18,1.568292
-5.800725,39,1.593544
-0.125785,11,1.600488
-15.355449,32,1.619647
-2.445594,16,1.629422
4.89678,47,1.657607
3.201522,28,1.675355
-6.550582,25,1.69292
-5.5284,16,1.704674
-1.833757,21,1.72288
-1.564958,33,1.75172
5.401745,25,1.77562
-2.889123,13,2.400861
8.717519,27,2.41741
0.143776,30,2.435928
-8.207915,14,2.444587
-8.162437,11,2.451476
-9.047312,39,2.475007
1.317403,23,2.489174
-6.996043,36,2.510992
-7.267548,26,2.526937
-1.980107,21,2.540416
1.562426,29,2.558662
5.101512,26,2.574544
-2.094607,25,2.590228
-8.948214,19,2.60199
-8.271296,38,2.624917
-1.565436,17,2.635295
-3.883036,27,2.652141
2.304072,19,2.665183
0.942489,50,2.695733
1.060006,24,2.710899
-3.143412,59,2.746569
-1.637488,19,2.758447
-7.37189,17,2.768947
2.299836,17,2.779678
