#{"t_start": 1533157147.8865154, "env_id": "HalfCheetah-v2"}
r,l,t
-1167.242391,1000,162.504761
-1285.83172,1000,165.56609
-1213.296387,1000,192.251312
-1173.359104,1000,194.87062
-1036.551115,1000,205.737087
-1071.414496,1000,208.338238
-1133.277818,1000,219.267418
-1076.598222,1000,221.797671
-1117.017158,1000,232.680743
-986.091935,1000,235.244329
-1085.281976,1000,246.220188
-980.517964,1000,248.762379
-1046.272176,1000,259.77
-934.101524,1000,262.375403
-929.748175,1000,273.408816
-1008.285069,1000,275.97522
-1095.536666,1000,286.851039
-890.323074,1000,289.354358
-797.954683,1000,300.285951
-807.309993,1000,302.948879
-794.34051,1000,314.166832
-843.183529,1000,317.057196
-1038.506543,1000,327.994714
-804.389258,1000,330.525229
-768.870763,1000,341.472352
-823.590633,1000,344.213112
-860.639149,1000,355.125011
-770.593574,1000,357.713074
-748.070305,1000,368.579188
-825.818929,1000,371.08444
-721.431052,1000,381.912593
-678.399435,1000,384.674114
-681.33976,1000,395.59127
-762.714769,1000,398.190341
-728.805229,1000,409.101516
-632.044375,1000,411.547858
-674.758107,1000,422.478547
-647.213681,1000,425.154926
-640.276191,1000,436.012605
-635.490838,1000,438.661895
-823.449603,1000,449.719848
-581.595891,1000,452.113679
-616.809368,1000,454.69785
-587.439126,1000,465.81065
-582.199729,1000,468.248275
-564.308766,1000,479.229698
-639.582393,1000,481.830816
-471.547493,1000,492.997843
-488.448426,1000,495.694756
-608.676832,1000,506.912343
-517.878473,1000,509.618119
-502.024841,1000,520.897257
-486.646237,1000,523.50951
-508.325246,1000,534.342894
-495.690036,1000,536.71491
-518.717417,1000,547.788589
-483.220216,1000,550.660215
-492.183892,1000,561.971603
-575.466662,1000,564.566668
-406.323816,1000,575.624504
-424.982662,1000,578.276347
-390.876356,1000,589.214908
-333.111103,1000,591.77763
-512.065214,1000,602.817135
-338.363934,1000,605.690397
-441.370152,1000,616.878483
-395.654887,1000,619.645771
-256.858521,1000,630.724453
-385.278078,1000,633.238565
-349.417586,1000,644.47155
-381.066436,1000,647.188791
-373.060364,1000,658.309156
-458.879237,1000,660.716601
-373.08119,1000,671.602722
-242.244213,1000,674.164711
-336.88195,1000,685.063956
-302.420285,1000,687.719666
-425.61688,1000,698.617419
-246.853252,1000,701.106059
-289.448741,1000,711.862244
-264.333495,1000,714.544623
-309.801526,1000,725.368004
-173.557298,1000,728.001838
-220.445825,1000,739.015926
-196.970408,1000,741.682667
-221.998116,1000,744.16064
-288.436242,1000,755.046457
-195.539565,1000,757.505078
-227.660995,1000,768.550128
-282.923436,1000,771.026162
-245.678218,1000,781.964072
-177.751559,1000,784.542078
-302.404432,1000,795.240617
-215.476852,1000,797.77491
-258.623193,1000,808.815611
-201.886967,1000,811.365709
-70.628309,1000,822.335767
-171.851337,1000,824.924829
54.923043,1000,836.16748
-139.207628,1000,838.723663
-105.685392,1000,849.750494
-152.61841,1000,852.328574
-151.57829,1000,863.298461
-83.063053,1000,865.976247
17.844306,1000,876.849832
-49.324895,1000,879.403258
-675.392805,1000,890.42247
-94.150863,1000,893.042284
150.785877,1000,904.146946
136.787603,1000,906.776734
-128.976965,1000,917.947183
158.608957,1000,920.535221
1.858049,1000,931.602581
-760.55971,1000,934.156581
132.486829,1000,945.082957
30.26007,1000,947.669385
-131.730867,1000,958.685867
299.176511,1000,961.208855
219.246081,1000,972.005234
254.092649,1000,974.601345
180.768866,1000,985.620506
316.111898,1000,988.254373
143.774844,1000,999.179036
467.670291,1000,1001.86784
476.870174,1000,1012.92174
354.900681,1000,1015.493924
377.42431,1000,1026.441558
-513.521939,1000,1029.063116
296.161664,1000,1031.668552
428.790751,1000,1042.805651
463.535381,1000,1045.385372
480.902212,1000,1056.588707
355.180764,1000,1059.197254
684.783428,1000,1070.210235
429.012396,1000,1073.032531
475.311402,1000,1084.172894
569.71788,1000,1086.81171
49.937085,1000,1097.899642
305.350578,1000,1100.445103
516.780726,1000,1111.506091
707.881376,1000,1114.19954
235.350068,1000,1125.163736
513.851648,1000,1127.714217
79.636124,1000,1138.946996
618.435747,1000,1141.625195
725.376115,1000,1152.63291
650.543028,1000,1155.187779
589.143286,1000,1166.350386
677.605683,1000,1168.886286
710.050074,1000,1179.749476
636.489753,1000,1182.238548
812.221234,1000,1193.454793
51.32644,1000,1196.045828
910.735886,1000,1206.93139
853.085052,1000,1209.494789
742.728835,1000,1220.59849
167.606356,1000,1223.269469
777.93805,1000,1234.375998
828.635974,1000,1237.056758
907.894189,1000,1248.171036
593.910294,1000,1250.640472
794.410635,1000,1261.766228
618.211996,1000,1264.252454
719.848459,1000,1275.257249
979.331226,1000,1277.829833
763.414797,1000,1289.067477
799.896555,1000,1291.769623
803.991213,1000,1302.687369
215.004072,1000,1305.25233
-610.848778,1000,1316.454744
824.511072,1000,1318.937197
781.057182,1000,1321.492987
901.219937,1000,1332.45714
972.983134,1000,1334.965891
912.287462,1000,1346.191901
958.298428,1000,1348.73882
836.87028,1000,1359.742818
332.738063,1000,1362.330638
628.252179,1000,1373.303419
764.068342,1000,1375.859723
635.321188,1000,1386.947839
906.61528,1000,1389.373054
915.657522,1000,1400.462476
1003.33288,1000,1403.112116
24.08053,1000,1414.224697
985.254976,1000,1416.752173
1042.361411,1000,1427.688903
509.217621,1000,1430.315401
386.016905,1000,1441.410594
1022.807077,1000,1443.984398
958.490067,1000,1455.231396
911.685957,1000,1457.703401
981.421658,1000,1469.026983
56.876048,1000,1471.526755
452.949521,1000,1482.474517
-146.306013,1000,1485.082416
915.613612,1000,1495.968327
1090.835268,1000,1498.571576
1130.37374,1000,1509.399244
1091.847783,1000,1511.953159
967.483281,1000,1522.945905
1076.403097,1000,1525.6163
1209.338904,1000,1536.719669
1083.291406,1000,1539.283993
1045.546266,1000,1550.129114
1009.699689,1000,1552.69004
1035.804774,1000,1563.76118
1141.510277,1000,1566.373711
1232.231081,1000,1577.419744
1170.877515,1000,1579.990601
1077.963158,1000,1591.164398
1014.7446,1000,1593.676223
1160.523619,1000,1604.670515
324.57501,1000,1607.611044
1118.190661,1000,1610.593385
1176.825228,1000,1621.73419
1407.435766,1000,1624.373699
1128.30336,1000,1635.510329
1117.118944,1000,1638.064921
1295.643779,1000,1649.027061
1228.013332,1000,1651.69242
697.998183,1000,1662.860918
1380.491218,1000,1665.464664
1273.174193,1000,1676.446847
1239.132302,1000,1679.070079
1342.696249,1000,1690.130288
1266.86398,1000,1692.729405
1304.984116,1000,1703.759177
1364.162618,1000,1706.393557
1322.070224,1000,1717.491693
1464.61772,1000,1720.030322
1199.917111,1000,1731.086772
1258.75853,1000,1733.637759
699.64054,1000,1744.679994
1124.426071,1000,1747.135131
1311.100066,1000,1758.249225
1203.491705,1000,1760.87306
1196.320555,1000,1771.971083
1264.69701,1000,1774.576091
810.897515,1000,1785.433531
1305.715041,1000,1787.989673
1247.219108,1000,1798.976995
1395.111012,1000,1801.466932
1250.724811,1000,1812.477238
175.14114,1000,1815.12344
1298.929189,1000,1826.090028
1188.086307,1000,1828.543461
1211.72642,1000,1839.472874
1337.388505,1000,1841.978253
1162.252461,1000,1852.957872
1405.39439,1000,1855.445087
1316.579342,1000,1866.383256
24.582778,1000,1868.929461
1158.970677,1000,1879.84546
1501.341108,1000,1882.526338
1118.074562,1000,1885.090022
1471.809524,1000,1896.066169
1271.856726,1000,1898.705864
1320.100951,1000,1909.616153
1193.402371,1000,1912.166795
1172.975567,1000,1923.199622
1299.812016,1000,1925.708828
1324.494602,1000,1936.794104
1253.348361,1000,1939.394794
1577.608348,1000,1950.444624
1556.187186,1000,1953.178905
1313.544025,1000,1964.337121
1489.213126,1000,1966.856111
1593.323548,1000,1978.025051
1422.875735,1000,1980.512544
1444.081022,1000,1991.504337
1295.701672,1000,1993.982763
1363.710546,1000,2004.966244
1277.663116,1000,2007.591721
1486.121867,1000,2018.804285
1566.094982,1000,2021.455416
1369.653851,1000,2032.572026
1335.002149,1000,2035.233611
1477.781363,1000,2046.170478
1451.920181,1000,2048.772353
1416.911641,1000,2059.641222
1338.41058,1000,2062.168082
1509.787833,1000,2073.055494
1522.711774,1000,2075.530207
1263.067024,1000,2086.544318
1542.584201,1000,2089.215903
1619.414663,1000,2100.424876
1511.275871,1000,2102.932672
1470.323019,1000,2113.925612
1437.125332,1000,2116.475325
1357.018788,1000,2127.514117
1692.293787,1000,2130.092382
1364.495006,1000,2141.099831
90.523793,1000,2143.71747
1558.043742,1000,2154.766027
1436.585867,1000,2157.303854
1554.202488,1000,2168.25925
1636.398496,1000,2170.924091
1791.987136,1000,2173.420583
1351.542447,1000,2184.425194
1396.341522,1000,2186.971571
1194.233347,1000,2197.871654
1497.588662,1000,2200.385036
-1139.532555,1000,2211.547588
1532.000322,1000,2214.155235
1485.012,1000,2225.243233
1528.189581,1000,2227.832971
-49.560519,1000,2238.868547
1242.487155,1000,2241.399371
1611.838869,1000,2252.382746
1380.391708,1000,2254.98359
1581.972811,1000,2266.009222
1529.230723,1000,2268.511637
1580.414475,1000,2279.570462
1568.159481,1000,2282.122215
1667.161632,1000,2293.066986
386.45503,1000,2295.640015
1613.985388,1000,2306.674262
1595.54657,1000,2309.178881
1595.128491,1000,2320.316799
1608.770673,1000,2322.88022
1630.342661,1000,2333.658731
1568.06977,1000,2336.199986
1483.229991,1000,2347.033151
1476.030993,1000,2349.678634
1518.269793,1000,2360.804111
1678.423262,1000,2363.469921
1678.441338,1000,2374.544265
1008.561501,1000,2377.204111
1655.625045,1000,2388.264019
1523.079229,1000,2390.928224
1608.238802,1000,2401.975533
1513.275269,1000,2404.552912
1582.872454,1000,2415.571068
1677.69993,1000,2418.287415
1698.373798,1000,2429.345331
1575.800123,1000,2431.93759
1736.997865,1000,2442.873969
1736.758953,1000,2445.284229
1652.698274,1000,2456.22517
1626.371184,1000,2458.739457
1631.887855,1000,2461.402275
1686.534397,1000,2472.426894
1613.509163,1000,2475.089964
1745.95993,1000,2486.081186
1914.360714,1000,2488.740488
1914.455404,1000,2499.751106
1560.040985,1000,2502.375861
1865.313214,1000,2513.407111
1902.389368,1000,2516.106604
1867.339222,1000,2527.071531
911.473938,1000,2529.763617
716.777613,1000,2541.042865
1766.279727,1000,2543.658546
1641.438215,1000,2554.691108
1702.310082,1000,2557.23122
1907.224355,1000,2568.233736
1617.689527,1000,2570.765412
222.523571,1000,2581.859293
1648.771876,1000,2584.36225
878.253298,1000,2595.529459
1802.156717,1000,2598.04639
